"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2,DATASET
2015-01-10:20:00,2015-01-10,20,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:21:00,2015-01-10,21,0.09,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:22:00,2015-01-10,22,0.09,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:23:00,2015-01-10,23,0.07,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:00:00,2015-01-11,00,0.06,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:01:00,2015-01-11,01,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:02:00,2015-01-11,02,0.06,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:03:00,2015-01-11,03,0.09,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:04:00,2015-01-11,04,0.10,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:05:00,2015-01-11,05,0.08,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:06:00,2015-01-11,06,0.07,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:07:00,2015-01-11,07,0.05,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:08:00,2015-01-11,08,0.05,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:09:00,2015-01-11,09,0.06,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:10:00,2015-01-11,10,0.05,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:11:00,2015-01-11,11,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:12:00,2015-01-11,12,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:13:00,2015-01-11,13,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:14:00,2015-01-11,14,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:15:00,2015-01-11,15,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:16:00,2015-01-11,16,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:17:00,2015-01-11,17,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:18:00,2015-01-11,18,0.08,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:19:00,2015-01-11,19,0.24,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:20:00,2015-01-11,20,0.21,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:21:00,2015-01-11,21,0.31,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:22:00,2015-01-11,22,0.15,----,----,CALID-DE-AIRE-ANO-2015
2015-01-11:23:00,2015-01-11,23,0.09,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:00:00,2015-01-12,00,0.11,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:01:00,2015-01-12,01,0.16,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:02:00,2015-01-12,02,0.07,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:03:00,2015-01-12,03,0.07,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:04:00,2015-01-12,04,0.15,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:05:00,2015-01-12,05,0.05,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:06:00,2015-01-12,06,0.06,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:07:00,2015-01-12,07,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:08:00,2015-01-12,08,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:09:00,2015-01-12,09,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:10:00,2015-01-12,10,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:11:00,2015-01-12,11,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:12:00,2015-01-12,12,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:13:00,2015-01-12,13,0.05,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:14:00,2015-01-12,14,0.05,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:15:00,2015-01-12,15,0.07,----,----,CALID-DE-AIRE-ANO-2015
2015-01-12:16:00,2015-01-12,16,0.05,----,----,CALID-DE-AIRE-ANO-2015
