2018-05-12:19:15,05/12/2018,19:15:00,18.61,7.14,7.05,75.62,crbuoy
2018-05-12:19:30,05/12/2018,19:30:00,18.6,7.14,7.05,75.51,crbuoy
2018-05-12:19:45,05/12/2018,19:45:00,18.58,7.15,7.1,76.05,crbuoy
2018-05-12:20:00,05/12/2018,20:00:00,18.58,7.14,7.09,76,crbuoy
2018-05-12:20:15,05/12/2018,20:15:00,18.55,7.14,7.09,75.87,crbuoy
2018-05-12:20:30,05/12/2018,20:30:00,18.56,7.13,7.04,75.4,crbuoy
2018-05-12:20:45,05/12/2018,20:45:00,18.54,7.14,7.03,75.27,crbuoy
2018-05-12:21:00,05/12/2018,21:00:00,18.54,7.13,7,74.98,crbuoy
2018-05-12:21:15,05/12/2018,21:15:00,18.5,7.14,7.02,75.04,crbuoy
2018-05-12:21:30,05/12/2018,21:30:00,18.5,7.13,6.98,74.7,crbuoy
2018-05-12:21:45,05/12/2018,21:45:00,18.51,7.14,6.97,74.59,crbuoy
2018-05-12:22:00,05/12/2018,22:00:00,18.5,7.14,7,74.84,crbuoy
2018-05-12:22:15,05/12/2018,22:15:00,18.48,7.14,7,74.88,crbuoy
2018-05-12:22:30,05/12/2018,22:30:00,18.47,7.13,7,74.88,crbuoy
2018-05-12:22:45,05/12/2018,22:45:00,18.47,7.14,6.99,74.69,crbuoy
2018-05-12:23:00,05/12/2018,23:00:00,18.47,7.13,7,74.78,crbuoy
2018-05-12:23:15,05/12/2018,23:15:00,18.46,7.13,6.91,73.86,crbuoy
2018-05-12:23:30,05/12/2018,23:30:00,18.45,7.13,6.94,74.2,crbuoy
2018-05-12:23:45,05/12/2018,23:45:00,18.45,7.14,6.97,74.48,crbuoy
2018-05-13:00:00,05/13/2018,00:00:00,18.44,7.13,6.96,74.36,crbuoy
2018-05-13:00:15,05/13/2018,00:15:00,18.43,7.13,6.96,74.29,crbuoy
2018-05-13:00:30,05/13/2018,00:30:00,18.42,7.13,6.95,74.2,crbuoy
2018-05-13:00:45,05/13/2018,00:45:00,18.43,7.13,6.91,73.78,crbuoy
2018-05-13:01:00,05/13/2018,01:00:00,18.42,7.13,6.92,73.85,crbuoy
2018-05-13:01:15,05/13/2018,01:15:00,18.41,7.12,6.88,73.46,crbuoy
2018-05-13:01:30,05/13/2018,01:30:00,18.39,7.12,6.84,73.04,crbuoy
2018-05-13:01:45,05/13/2018,01:45:00,18.38,7.13,6.92,73.79,crbuoy
2018-05-13:02:00,05/13/2018,02:00:00,18.37,7.13,6.88,73.37,crbuoy
2018-05-13:02:15,05/13/2018,02:15:00,18.35,7.13,6.92,73.84,crbuoy
2018-05-13:02:30,05/13/2018,02:30:00,18.32,7.14,6.97,74.32,crbuoy
2018-05-13:02:45,05/13/2018,02:45:00,18.33,7.12,6.88,73.36,crbuoy
2018-05-13:03:00,05/13/2018,03:00:00,18.3,7.13,6.91,73.59,crbuoy
2018-05-13:03:15,05/13/2018,03:15:00,18.31,7.13,6.93,73.82,crbuoy
2018-05-13:03:30,05/13/2018,03:30:00,18.27,7.13,6.94,73.84,crbuoy
2018-05-13:03:45,05/13/2018,03:45:00,18.27,7.13,6.93,73.81,crbuoy
2018-05-13:04:00,05/13/2018,04:00:00,18.28,7.13,6.9,73.43,crbuoy
2018-05-13:04:15,05/13/2018,04:15:00,18.27,7.12,6.88,73.28,crbuoy
2018-05-13:04:30,05/13/2018,04:30:00,18.24,7.12,6.86,73.04,crbuoy
2018-05-13:04:45,05/13/2018,04:45:00,18.26,7.12,6.84,72.76,crbuoy
2018-05-13:05:00,05/13/2018,05:00:00,18.25,7.12,6.8,72.39,crbuoy
2018-05-13:05:15,05/13/2018,05:15:00,18.23,7.12,6.8,72.3,crbuoy
2018-05-13:05:30,05/13/2018,05:30:00,18.22,7.11,6.77,72.04,crbuoy
2018-05-13:05:45,05/13/2018,05:45:00,18.21,7.11,6.76,71.83,crbuoy
2018-05-13:06:00,05/13/2018,06:00:00,18.19,7.12,6.79,72.17,crbuoy
2018-05-13:06:15,05/13/2018,06:15:00,18.17,7.11,6.76,71.87,crbuoy
2018-05-13:06:30,05/13/2018,06:30:00,18.17,7.11,6.76,71.84,crbuoy
2018-05-13:06:45,05/13/2018,06:45:00,18.18,7.11,6.75,71.75,crbuoy
2018-05-13:07:00,05/13/2018,07:00:00,18.14,7.12,6.75,71.64,crbuoy
2018-05-13:07:15,05/13/2018,07:15:00,18.13,7.12,6.76,71.73,crbuoy
2018-05-13:07:30,05/13/2018,07:30:00,18.13,7.11,6.76,71.81,crbuoy
2018-05-13:07:45,05/13/2018,07:45:00,18.11,7.12,6.79,71.99,crbuoy
2018-05-13:08:00,05/13/2018,08:00:00,18.1,7.12,6.75,71.63,crbuoy
