"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO2,DATASET
2009-10-20:12:00,20/10/2009,13,1.1, ,MGSET_01_2009_2018_PA
2009-10-20:13:00,20/10/2009,14,1.14, ,MGSET_01_2009_2018_PA
2009-10-20:14:00,20/10/2009,15,1.11, ,MGSET_01_2009_2018_PA
2009-10-20:15:00,20/10/2009,16,0.99, ,MGSET_01_2009_2018_PA
2009-10-20:16:00,20/10/2009,17,0.93, ,MGSET_01_2009_2018_PA
2009-10-20:17:00,20/10/2009,18,0.94, ,MGSET_01_2009_2018_PA
2009-10-20:18:00,20/10/2009,19,0.99, ,MGSET_01_2009_2018_PA
2009-10-20:19:00,20/10/2009,20,0.99, ,MGSET_01_2009_2018_PA
2009-10-20:20:00,20/10/2009,21,0.91, ,MGSET_01_2009_2018_PA
2009-10-20:21:00,20/10/2009,22,0.85, ,MGSET_01_2009_2018_PA
2009-10-20:22:00,20/10/2009,23,0.83, ,MGSET_01_2009_2018_PA
2009-10-20:23:00,20/10/2009,24,0.81, ,MGSET_01_2009_2018_PA
2009-10-21:0:00,21/10/2009,1,0.74, ,MGSET_01_2009_2018_PA
2009-10-21:1:00,21/10/2009,2,0.65, ,MGSET_01_2009_2018_PA
2009-10-21:2:00,21/10/2009,3,0.53, ,MGSET_01_2009_2018_PA
2009-10-21:3:00,21/10/2009,4,0.44, ,MGSET_01_2009_2018_PA
2009-10-21:4:00,21/10/2009,5,0.39, ,MGSET_01_2009_2018_PA
2009-10-21:5:00,21/10/2009,6,0.35, ,MGSET_01_2009_2018_PA
2009-10-21:6:00,21/10/2009,7,0.31, ,MGSET_01_2009_2018_PA
2009-10-21:7:00,21/10/2009,8,0.29, ,MGSET_01_2009_2018_PA
2009-10-21:8:00,21/10/2009,9,0.3, ,MGSET_01_2009_2018_PA
2009-10-21:9:00,21/10/2009,10,0.35, ,MGSET_01_2009_2018_PA
2009-10-21:10:00,21/10/2009,11,0.4, ,MGSET_01_2009_2018_PA
2009-10-21:11:00,21/10/2009,12,0.46, ,MGSET_01_2009_2018_PA
2009-10-21:12:00,21/10/2009,13,0.55, ,MGSET_01_2009_2018_PA
2009-10-21:13:00,21/10/2009,14,0.63, ,MGSET_01_2009_2018_PA
2009-10-21:14:00,21/10/2009,15,0.69, ,MGSET_01_2009_2018_PA
2009-10-21:15:00,21/10/2009,16,0.78, ,MGSET_01_2009_2018_PA
2009-10-21:16:00,21/10/2009,17,0.85, ,MGSET_01_2009_2018_PA
2009-10-21:17:00,21/10/2009,18,0.86, ,MGSET_01_2009_2018_PA
2009-10-21:18:00,21/10/2009,19,0.89, ,MGSET_01_2009_2018_PA
2009-10-21:19:00,21/10/2009,20,0.94, ,MGSET_01_2009_2018_PA
2009-10-21:20:00,21/10/2009,21,0.96, ,MGSET_01_2009_2018_PA
2009-10-21:21:00,21/10/2009,22,0.99, ,MGSET_01_2009_2018_PA
2009-10-21:22:00,21/10/2009,23,1, ,MGSET_01_2009_2018_PA
2009-10-21:23:00,21/10/2009,24,0.95, ,MGSET_01_2009_2018_PA
