"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2019-05-10:04:00,05/10/2019,04:00:00,14.92,7.09,9.44,93.64,crbuoy
2019-05-10:04:15,05/10/2019,04:15:00,14.9,7.09,9.43,93.47,crbuoy
2019-05-10:04:30,05/10/2019,04:30:00,14.91,7.09,9.43,93.49,crbuoy
2019-05-10:04:45,05/10/2019,04:45:00,14.9,7.1,9.44,93.56,crbuoy
2019-05-10:05:00,05/10/2019,05:00:00,14.91,7.09,9.42,93.37,crbuoy
2019-05-10:05:15,05/10/2019,05:15:00,14.89,7.09,9.43,93.45,crbuoy
2019-05-10:05:30,05/10/2019,05:30:00,14.89,7.1,9.43,93.39,crbuoy
2019-05-10:05:45,05/10/2019,05:45:00,14.87,7.11,9.42,93.27,crbuoy
2019-05-10:06:00,05/10/2019,06:00:00,14.88,7.11,9.41,93.22,crbuoy
2019-05-10:06:15,05/10/2019,06:15:00,14.87,7.1,9.4,93.11,crbuoy
2019-05-10:06:30,05/10/2019,06:30:00,14.87,7.08,9.4,93.12,crbuoy
2019-05-10:06:45,05/10/2019,06:45:00,14.85,7.09,9.4,93.03,crbuoy
2019-05-10:07:00,05/10/2019,07:00:00,14.86,7.07,9.4,93.09,crbuoy
2019-05-10:07:15,05/10/2019,07:15:00,14.86,7.04,9.39,92.98,crbuoy
2019-05-10:07:30,05/10/2019,07:30:00,14.85,7.05,9.39,92.96,crbuoy
2019-05-10:07:45,05/10/2019,07:45:00,14.86,7.06,9.39,92.95,crbuoy
2019-05-10:08:00,05/10/2019,08:00:00,14.88,7.08,9.39,92.98,crbuoy
2019-05-10:08:15,05/10/2019,08:15:00,14.88,7.06,9.38,92.89,crbuoy
2019-05-10:08:30,05/10/2019,08:30:00,14.87,7.06,9.38,92.91,crbuoy
2019-05-10:08:45,05/10/2019,08:45:00,14.88,7.05,9.39,93.05,crbuoy
2019-05-10:09:00,05/10/2019,09:00:00,14.88,7.05,9.39,93.03,crbuoy
2019-05-10:09:15,05/10/2019,09:15:00,14.91,7.04,9.38,92.97,crbuoy
2019-05-10:09:30,05/10/2019,09:30:00,14.93,7.02,9.35,92.71,crbuoy
2019-05-10:09:45,05/10/2019,09:45:00,14.98,7.03,9.37,93,crbuoy
2019-05-10:10:00,05/10/2019,10:00:00,14.99,7.03,9.4,93.32,crbuoy
2019-05-10:10:15,05/10/2019,10:15:00,15.09,7.07,9.4,93.56,crbuoy
2019-05-10:10:30,05/10/2019,10:30:00,15.11,7.05,9.41,93.64,crbuoy
2019-05-10:10:45,05/10/2019,10:45:00,15.09,7.02,9.39,93.45,crbuoy
2019-05-10:11:00,05/10/2019,11:00:00,15.08,7.03,9.39,93.41,crbuoy
2019-05-10:11:15,05/10/2019,11:15:00,15.09,7.03,9.38,93.3,crbuoy
2019-05-10:11:30,05/10/2019,11:30:00,15.11,7.04,9.39,93.47,crbuoy
2019-05-10:11:45,05/10/2019,11:45:00,15.1,7.03,9.38,93.4,crbuoy
2019-05-10:12:00,05/10/2019,12:00:00,15.12,7.03,9.37,93.29,crbuoy
2019-05-10:12:15,05/10/2019,12:15:00,15.12,7.01,9.36,93.23,crbuoy
2019-05-10:12:30,05/10/2019,12:30:00,15.14,6.98,9.36,93.26,crbuoy
