"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2017-05-13:01:00,05/13/2017,01:00:00,14.5,7.11,8.25,81.1,crbuoy2017
2017-05-13:01:15,05/13/2017,01:15:00,14.51,7.1,8.23,80.98,crbuoy2017
2017-05-13:01:30,05/13/2017,01:30:00,14.49,7.11,8.24,80.99,crbuoy2017
2017-05-13:01:45,05/13/2017,01:45:00,14.49,7.11,8.25,81.11,crbuoy2017
2017-05-13:02:00,05/13/2017,02:00:00,14.49,7.11,8.26,81.24,crbuoy2017
2017-05-13:02:15,05/13/2017,02:15:00,14.5,7.11,8.25,81.14,crbuoy2017
2017-05-13:02:30,05/13/2017,02:30:00,14.46,7.11,8.25,81.04,crbuoy2017
2017-05-13:02:45,05/13/2017,02:45:00,14.47,7.11,8.25,81.02,crbuoy2017
2017-05-13:03:00,05/13/2017,03:00:00,14.48,7.1,8.23,80.9,crbuoy2017
2017-05-13:03:15,05/13/2017,03:15:00,14.47,7.11,8.23,80.92,crbuoy2017
2017-05-13:03:30,05/13/2017,03:30:00,14.47,7.1,8.23,80.85,crbuoy2017
2017-05-13:03:45,05/13/2017,03:45:00,14.45,7.1,8.22,80.74,crbuoy2017
2017-05-13:04:00,05/13/2017,04:00:00,14.46,7.1,8.21,80.63,crbuoy2017
2017-05-13:04:15,05/13/2017,04:15:00,14.44,7.1,8.22,80.76,crbuoy2017
2017-05-13:04:30,05/13/2017,04:30:00,14.43,7.1,8.19,80.43,crbuoy2017
2017-05-13:04:45,05/13/2017,04:45:00,14.43,7.1,8.17,80.23,crbuoy2017
2017-05-13:05:00,05/13/2017,05:00:00,14.41,7.1,8.21,80.56,crbuoy2017
2017-05-13:05:15,05/13/2017,05:15:00,14.42,7.1,8.2,80.49,crbuoy2017
2017-05-13:05:30,05/13/2017,05:30:00,14.41,7.1,8.22,80.68,crbuoy2017
2017-05-13:05:45,05/13/2017,05:45:00,14.4,7.1,8.21,80.55,crbuoy2017
2017-05-13:06:00,05/13/2017,06:00:00,14.39,7.1,8.21,80.54,crbuoy2017
2017-05-13:06:15,05/13/2017,06:15:00,14.4,7.1,8.24,80.8,crbuoy2017
2017-05-13:06:30,05/13/2017,06:30:00,14.39,7.1,8.23,80.78,crbuoy2017
2017-05-13:06:45,05/13/2017,06:45:00,14.38,7.1,8.23,80.69,crbuoy2017
2017-05-13:07:00,05/13/2017,07:00:00,14.37,7.1,8.23,80.69,crbuoy2017
2017-05-13:07:15,05/13/2017,07:15:00,14.38,7.11,8.23,80.69,crbuoy2017
2017-05-13:07:30,05/13/2017,07:30:00,14.37,7.11,8.22,80.61,crbuoy2017
2017-05-13:07:45,05/13/2017,07:45:00,14.38,7.1,8.19,80.38,crbuoy2017
2017-05-13:08:00,05/13/2017,08:00:00,14.38,7.1,8.2,80.4,crbuoy2017
2017-05-13:08:15,05/13/2017,08:15:00,14.37,7.1,8.2,80.44,crbuoy2017
2017-05-13:08:30,05/13/2017,08:30:00,14.38,7.1,8.19,80.31,crbuoy2017
2017-05-13:08:45,05/13/2017,08:45:00,14.37,7.1,8.18,80.19,crbuoy2017
2017-05-13:09:00,05/13/2017,09:00:00,14.37,7.1,8.17,80.16,crbuoy2017
2017-05-13:09:15,05/13/2017,09:15:00,14.37,7.1,8.18,80.16,crbuoy2017
2017-05-13:09:30,05/13/2017,09:30:00,14.36,7.09,8.18,80.19,crbuoy2017
2017-05-13:09:45,05/13/2017,09:45:00,14.36,7.08,8.16,80.04,crbuoy2017
2017-05-13:10:00,05/13/2017,10:00:00,14.36,7.05,8.2,80.39,crbuoy2017
2017-05-13:10:15,05/13/2017,10:15:00,14.39,7.05,8.22,80.64,crbuoy2017
2017-05-13:10:30,05/13/2017,10:30:00,14.37,7.04,8.17,80.07,crbuoy2017
2017-05-13:10:45,05/13/2017,10:45:00,14.39,7.06,8.18,80.28,crbuoy2017
2017-05-13:11:00,05/13/2017,11:00:00,14.48,7.09,8.27,81.32,crbuoy2017
2017-05-13:11:15,05/13/2017,11:15:00,14.53,7.08,8.31,81.77,crbuoy2017
2017-05-13:11:30,05/13/2017,11:30:00,14.58,7.07,8.33,82.06,crbuoy2017
2017-05-13:11:45,05/13/2017,11:45:00,14.58,7.08,8.34,82.15,crbuoy2017
2017-05-13:12:00,05/13/2017,12:00:00,14.57,7.08,8.36,82.37,crbuoy2017
2017-05-13:12:15,05/13/2017,12:15:00,14.58,7.08,8.37,82.42,crbuoy2017
2017-05-13:12:30,05/13/2017,12:30:00,14.6,7.08,8.41,82.86,crbuoy2017
2017-05-13:12:45,05/13/2017,12:45:00,14.7,7.09,8.43,83.29,crbuoy2017
2017-05-13:13:00,05/13/2017,13:00:00,14.64,7.1,8.38,82.64,crbuoy2017
2017-05-13:13:15,05/13/2017,13:15:00,14.7,7.09,8.42,83.14,crbuoy2017
2017-05-13:13:30,05/13/2017,13:30:00,14.73,7.09,8.44,83.41,crbuoy2017
2017-05-13:13:45,05/13/2017,13:45:00,14.6,7.09,8.38,82.6,crbuoy2017
2017-05-13:14:00,05/13/2017,14:00:00,14.79,7.09,8.49,84.04,crbuoy2017
2017-05-13:14:15,05/13/2017,14:15:00,14.81,7.1,8.51,84.25,crbuoy2017
2017-05-13:14:30,05/13/2017,14:30:00,14.8,7.11,8.53,84.44,crbuoy2017
2017-05-13:14:45,05/13/2017,14:45:00,14.75,7.12,8.5,84,crbuoy2017
2017-05-13:15:00,05/13/2017,15:00:00,14.69,7.11,8.46,83.51,crbuoy2017
2017-05-13:15:15,05/13/2017,15:15:00,14.68,7.12,8.5,83.88,crbuoy2017
2017-05-13:15:30,05/13/2017,15:30:00,14.68,7.09,8.43,83.19,crbuoy2017
2017-05-13:15:45,05/13/2017,15:45:00,14.68,7.1,8.42,83.17,crbuoy2017
2017-05-13:16:00,05/13/2017,16:00:00,14.67,7.11,8.52,84.13,crbuoy2017
2017-05-13:16:15,05/13/2017,16:15:00,14.66,7.12,8.54,84.28,crbuoy2017
2017-05-13:16:30,05/13/2017,16:30:00,14.64,7.13,8.56,84.41,crbuoy2017
2017-05-13:16:45,05/13/2017,16:45:00,14.63,7.11,8.51,83.95,crbuoy2017
2017-05-13:17:00,05/13/2017,17:00:00,14.63,7.11,8.51,83.91,crbuoy2017
2017-05-13:17:15,05/13/2017,17:15:00,14.63,7.13,8.54,84.18,crbuoy2017
2017-05-13:17:30,05/13/2017,17:30:00,14.61,7.13,8.53,84.13,crbuoy2017
2017-05-13:17:45,05/13/2017,17:45:00,14.6,7.13,8.51,83.85,crbuoy2017
2017-05-13:18:00,05/13/2017,18:00:00,14.59,7.12,8.51,83.87,crbuoy2017
2017-05-13:18:15,05/13/2017,18:15:00,14.56,7.13,8.5,83.69,crbuoy2017
2017-05-13:18:30,05/13/2017,18:30:00,14.51,7.11,8.43,82.89,crbuoy2017
2017-05-13:18:45,05/13/2017,18:45:00,14.5,7.09,8.36,82.21,crbuoy2017
2017-05-13:19:00,05/13/2017,19:00:00,14.47,7.1,8.33,81.86,crbuoy2017
2017-05-13:19:15,05/13/2017,19:15:00,14.45,7.08,8.28,81.39,crbuoy2017
2017-05-13:19:30,05/13/2017,19:30:00,14.46,7.08,8.26,81.19,crbuoy2017
2017-05-13:19:45,05/13/2017,19:45:00,14.43,7.09,8.22,80.73,crbuoy2017
2017-05-13:20:00,05/13/2017,20:00:00,14.4,7.09,8.22,80.62,crbuoy2017
2017-05-13:20:15,05/13/2017,20:15:00,14.42,7.08,8.19,80.37,crbuoy2017
2017-05-13:20:30,05/13/2017,20:30:00,14.46,7.08,8.13,79.92,crbuoy2017
2017-05-13:20:45,05/13/2017,20:45:00,14.54,7.1,8.19,80.62,crbuoy2017
2017-05-13:21:00,05/13/2017,21:00:00,14.56,7.11,8.25,81.26,crbuoy2017
2017-05-13:21:15,05/13/2017,21:15:00,14.52,7.13,8.3,81.65,crbuoy2017
2017-05-13:21:30,05/13/2017,21:30:00,14.52,7.11,8.19,80.59,crbuoy2017
2017-05-13:21:45,05/13/2017,21:45:00,14.55,7.12,8.25,81.25,crbuoy2017
2017-05-13:22:00,05/13/2017,22:00:00,14.52,7.12,8.24,81.12,crbuoy2017
2017-05-13:22:15,05/13/2017,22:15:00,14.51,7.13,8.28,81.47,crbuoy2017
2017-05-13:22:30,05/13/2017,22:30:00,14.54,7.13,8.36,82.3,crbuoy2017
2017-05-13:22:45,05/13/2017,22:45:00,14.56,7.13,8.33,81.99,crbuoy2017
2017-05-13:23:00,05/13/2017,23:00:00,14.53,7.13,8.32,81.89,crbuoy2017
2017-05-13:23:15,05/13/2017,23:15:00,14.54,7.13,8.3,81.72,crbuoy2017
2017-05-13:23:30,05/13/2017,23:30:00,14.52,7.13,8.31,81.8,crbuoy2017
2017-05-13:23:45,05/13/2017,23:45:00,14.48,7.13,8.36,82.14,crbuoy2017
2017-05-14:00:00,05/14/2017,00:00:00,14.5,7.13,8.34,82,crbuoy2017
2017-05-14:00:15,05/14/2017,00:15:00,14.48,7.13,8.33,81.87,crbuoy2017
2017-05-14:00:30,05/14/2017,00:30:00,14.49,7.13,8.31,81.71,crbuoy2017
2017-05-14:00:45,05/14/2017,00:45:00,14.48,7.13,8.31,81.65,crbuoy2017
2017-05-14:01:00,05/14/2017,01:00:00,14.47,7.13,8.32,81.77,crbuoy2017
2017-05-14:01:15,05/14/2017,01:15:00,14.45,7.13,8.31,81.61,crbuoy2017
2017-05-14:01:30,05/14/2017,01:30:00,14.43,7.13,8.29,81.39,crbuoy2017
2017-05-14:01:45,05/14/2017,01:45:00,14.42,7.13,8.31,81.6,crbuoy2017
2017-05-14:02:00,05/14/2017,02:00:00,14.42,7.13,8.3,81.53,crbuoy2017
2017-05-14:02:15,05/14/2017,02:15:00,14.4,7.13,8.31,81.5,crbuoy2017
2017-05-14:02:30,05/14/2017,02:30:00,14.38,7.13,8.31,81.55,crbuoy2017
2017-05-14:02:45,05/14/2017,02:45:00,14.38,7.13,8.31,81.53,crbuoy2017
2017-05-14:03:00,05/14/2017,03:00:00,14.38,7.13,8.33,81.66,crbuoy2017
2017-05-14:03:15,05/14/2017,03:15:00,14.37,7.13,8.33,81.66,crbuoy2017
2017-05-14:03:30,05/14/2017,03:30:00,14.34,7.14,8.36,81.96,crbuoy2017
2017-05-14:03:45,05/14/2017,03:45:00,14.34,7.14,8.36,81.9,crbuoy2017
2017-05-14:04:00,05/14/2017,04:00:00,14.35,7.14,8.34,81.7,crbuoy2017
2017-05-14:04:15,05/14/2017,04:15:00,14.33,7.14,8.35,81.76,crbuoy2017
2017-05-14:04:30,05/14/2017,04:30:00,14.32,7.14,8.33,81.65,crbuoy2017
2017-05-14:04:45,05/14/2017,04:45:00,14.29,7.14,8.34,81.69,crbuoy2017
2017-05-14:05:00,05/14/2017,05:00:00,14.29,7.14,8.33,81.55,crbuoy2017
2017-05-14:05:15,05/14/2017,05:15:00,14.31,7.13,8.29,81.22,crbuoy2017
2017-05-14:05:30,05/14/2017,05:30:00,14.29,7.13,8.3,81.24,crbuoy2017
2017-05-14:05:45,05/14/2017,05:45:00,14.26,7.13,8.33,81.5,crbuoy2017
2017-05-14:06:00,05/14/2017,06:00:00,14.28,7.13,8.31,81.31,crbuoy2017
2017-05-14:06:15,05/14/2017,06:15:00,14.27,7.12,8.31,81.3,crbuoy2017
2017-05-14:06:30,05/14/2017,06:30:00,14.29,7.12,8.3,81.25,crbuoy2017
2017-05-14:06:45,05/14/2017,06:45:00,14.29,7.11,8.28,81.07,crbuoy2017
2017-05-14:07:00,05/14/2017,07:00:00,14.31,7.11,8.24,80.71,crbuoy2017
2017-05-14:07:15,05/14/2017,07:15:00,14.28,7.11,8.3,81.2,crbuoy2017
2017-05-14:07:30,05/14/2017,07:30:00,14.3,7.11,8.32,81.46,crbuoy2017
2017-05-14:07:45,05/14/2017,07:45:00,14.32,7.12,8.33,81.57,crbuoy2017
2017-05-14:08:00,05/14/2017,08:00:00,14.27,7.12,8.37,81.96,crbuoy2017
2017-05-14:08:15,05/14/2017,08:15:00,14.27,7.11,8.38,81.98,crbuoy2017
2017-05-14:08:30,05/14/2017,08:30:00,14.27,7.1,8.32,81.43,crbuoy2017
2017-05-14:08:45,05/14/2017,08:45:00,14.26,7.1,8.33,81.46,crbuoy2017
2017-05-14:09:00,05/14/2017,09:00:00,14.24,7.1,8.38,81.95,crbuoy2017
